"Bislama","English"
"Hao nao ol nius we i kamaot long ol niuspepa mo narafala wei emi stiarem ol lukluk we yumi gat long saed long wol tedei? ","How does the news shape the way we see the world? "
"Hem nao wol we yumi luk luk long hem. Ol difren graon blong wol i luk olsem ia","Here's the world based on the way it looks -- based on landmass"
"Mo ol nius emi jenjem tin-ting blong ol man Amerika olsem ia nao ","And here's how news shapes what Americans see"
"Map ia. Map ia i soem nam blong ol seken we olgeta nwetwok blong nius blong Amerika mo ol rigin nius oganaesesen i bin yusum blong talemaot stori long saed blong ol nius long everi kantri raon long wol, long Februari 2007-wan yia i pas nomo. ","This map -- (Applause) -- this map shows the number of seconds that American network and cable news organizations dedicated to news stories, by country, in February of 2007 -- just one year ago. "
"Nao long manis ia nao Not Korea i bin agri blong pispisim ol niuklia wok blong olgeta","Now, this was a month when North Korea agreed to dismantle its nuclear facilities. "
"Long Indonesia i gat wan bigfala wota i bin ron","There was massive flooding in Indonesia"
"mo long Paris, IPCC i bin rilisim wan stadi we i talemaot wok blong ol man long saed long global woming.","And in Paris, the IPCC released its study confirming man's impact on global warming. "
"U.S. nomo hemi bin risponsibol from 79 % long ful kavarej blong ol nius ia","The U.S. accounted for 79 percent of total news coverage"
"mo taem we yumi tekemaot U.S. mo luk luk long narafala 21 % yumi luk plante long Iraq – hemia bigfala grin samting ia long wei – i nogat tumas narafala samting ","And when we take out the U.S. and look at the remaining 21 percent, we see a lot of Iraq -- that's that big green thing there -- and little else. "
"Tugeta kavarej blong Rasia, Jaena mo India i kasem 1 % nomo. ","The combined coverage of Russia, China and India, for example, reached just one percent. "
"Taem we mifala i putum tugeta ol storian long nius ia mo karemaot wan storian nomo hemi soem olsem wanem nao wol hemi luk luk ","When we analyzed all the news stories and removed just one story, here's how the world looked. "
"Wanem nao storian ia? Hemi nius blong ded blong Anna Nicole Smith","What was that story? The death of Anna Nicole Smith"
"Storian ia i bin go long everi kantri long wol be i no kasem Iraq nomo. Mo storian ia i risivim 10 taem bitem kavarej blong ripot blong IPCC","This story eclipsed every country except Iraq, and received 10 times the coverage of the IPCC report. "
"mo storian hemi koraon bageken; olsem yumi save finis – i bin gat planti nius i go raon abaot woman ia Britney","And the cycle continues; as we all know, Britney has loomed pretty large lately. "
"Be from wanem nao yumi no harem tumas nius long saed blong ol narafala kantri long wol? ","So, why don't we hear more about the world? "
"Wan stamba tingting hemi from se ol netwok blong nius oli bin katem haf namba blong ol ofis blong olgeta ovasi","One reason is that news networks have reduced the number of their foreign bureaus by half"
"I gat smol ofis blong nius blong ABC nomo i stap long Nairobi, New Delhi, mo Mumbai Be i nogat wan ofis blong nius long Afrika, India mo Saot Amerika - ol ples ia nao oli haos blong bitim tu billion man ","Aside from one-person ABC mini-bureaus in Nairobi, New Delhi and Mumbai, there are no network news bureaus in all of Africa, India or South America -- places that are home to more than two billion people. "
"Long tru laef, storian long saed blong woman ia Britney hemi jip nomo ","The reality is that covering Britney is cheaper"
"mo taem i nogat tumas nius long saed blong ol narafala kantri hemi no gud. Taem yumi luk luk ol ples we ol man oli go blong kasem nius ","And this lack of global coverage is all the more disturbing when we see where people go for news"
"nius long TV blong netwok we i stap long wanwan kantri blong yumi -USA- hemi big wan moa be sori tumas ol storian ia i gat 12 % nomo i stap kavaremap intanasonal nius ","Local TV news looms large, and unfortunately only dedicates 12 percent of its coverage to international news. "
"Be olsem wanem long saed blong intanet? ","And what about the web? "
"Ol popula websaet blong nius i nogat tumas nius long hem","The most popular news sites don't do much better"
"Long las yia, Pew mo Colombia J-School, olgeta oli bin luk luk long planti nuis storian, we i bitim 14,000 stori we i kamaot long fored blong google ","Last year, Pew and the Colombia J-School analyzed the 14,000 stories that appeared on Google News' front page. "
"mo olgeta ia tu i stap storian long ol semak nuis nomo we i bin kamaot finis ","And they, in fact, covered the same 24 news events. "
"mo tu, stadi ia, i telemoat se ol nuis netwok blong US oli stap storian long saed blong ol narafala kantri mo ol storian ia oli semak long ol storian blong ol AP waea sevis mo reutas. mo olgeta ia i no tanem nius ia nating blong mekem sua se ol man oli save kasem evri samting long storian ia ","Similarly, a study in e-content showed that much of global news from U.S. news creators is recycled stories from the AP wire services and Reuters, and don't put things into a context that people can understand their connection to it. "
"sapos yu putum tugeta olgeta samting ia, bae hemi save telemoat from wanem nao ol man we oli bin finisim Univesiti mo ol man Amerika we oli no skul gud oli no save plante abot wol bitim ol fren blong olgeta 20 yia i pas finis ","So, if you put it all together, this could help explain why today's college graduates, as well as less educated Americans, know less about the world than their counterparts did 20 years ago. "
"mo sapos yu ting se hemi from se ol man Amerika i no gat tumas interes hemi no stret ting ting ","And if you think it's simply because we are not interested, you would be wrong. "
"i no long taem nating i pas, taem mifala i bin toktok long ol man Amerika we oli stap folem ol nius oltaem oli bin go antap long 50 % ","In recent years, Americans who say they closely follow global news most of the time grew to over 50 percent. "
"Stret kwestin hemi : hemia stret luk luk long wol we yumi wantem blong ol man Amerika long wol tedei we i nogat gudfala koneksen oltaem","The real question: is this distorted worldview what we want for Americans in our increasingly interconnected world? "
"Mi save se yumi save mekem i moa gud","I know we can do better"
"Bae yumi save mekem o nogat? Tank yu tumas","And can we afford not to? Thank you"